,title,release,artist_name,user,silhouette_score
742,10.000 Promises,Backstreet's Back,Backstreet Boys,user2,0.558875638753965
659,Rock Your Body,City Sounds,Justin Timberlake,user2,0.5585323388734688
296,Rock Your Body,City Sounds,Justin Timberlake,user1,0.5585323388734688
471,Carrion,Horizons [Deluxe Edition],Parkway Drive,user1,0.5574863266433687
733,Complicated,The Number One Divas,Avril Lavigne,user2,0.5571052840220424
462,Complicated,The Number One Divas,Avril Lavigne,user1,0.5571052840220424
383,Heads Will Roll,Cream Future Electro,Yeah Yeah Yeahs,user1,0.5562979759119001
29,Drown,Three Days Grace (Deluxe Version),Three Days Grace,user1,0.5550335633484137
9,Your English Is Good,Elephant Shell,Tokyo Police Club,user1,0.5547536789493804
644,Whoa Oh! (Me vs Everyone),Woah Oh!,Forever The Sickest Kids,user2,0.5539794129260872
118,Bulletproof,Bulletproof,La Roux,user1,0.5538772684644973
558,Bulletproof,Bulletproof,La Roux,user2,0.553877268464497
203,Tell Me I'm A Wreck,Picture Perfect,Every Avenue,user1,0.5536147257072533
338,Barracuda,Live,Heart,user1,0.5534010513774834
372,Can't Stand Me Now,The Libertines,The Libertines,user1,0.5528472986610957
130,The Youth,Oracular Spectacular,MGMT,user1,0.5526664339727744
352,Boombastic,Essential Reggae,Shaggy,user1,0.5490167905844898
678,Boombastic,Essential Reggae,Shaggy,user2,0.5490167905844898
604,When You Look Me In The Eyes,Jonas Brothers,Jonas Brothers,user2,0.5485240255548747
542,Battlefield,Battlefield,Jordin Sparks,user2,0.547699714459877
436,Home,Up From Below,Edward Sharpe & The Magnetic Zeros,user1,0.5455451602751674
707,Things I'll Never Say,Let Go,Avril Lavigne,user2,0.5451211797738013
132,Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,user1,0.5447593306745552
572,Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,user2,0.5447593306745552
295,Gimme More,Blackout,Britney Spears,user1,0.5441588796495164
146,Home Sweet Home,Music To Crash Your Car To,Mötley Crüe,user1,0.543933593535513
763,Unwritten,Divas Collection,Natasha Bedingfield,user2,0.5438582734390586
109,Tubthumping,Tubthumper,Chumbawamba,user1,0.5429644029620171
303,Fuck Tha Police,Straight Outta Compton (2002 Digital Remaster) (Explicit),N.W.A.,user1,0.5426235323007893
86,Your Guardian Angel,Don't You Fake It,The Red Jumpsuit Apparatus,user1,0.5425813865031878
416,Sweet Disposition,Conditions,The Temper Trap,user1,0.5421976640604643
178,Teddy Picker,Favourite Worst Nightmare,Arctic Monkeys,user1,0.5420783714344132
110,When I'm Gone,Let Me Go,3 Doors Down,user1,0.5418702612171803
221,Higher,Greatest Hits,Creed,user1,0.5415295641964274
7,Lights & Music,Lights & Music,Cut Copy,user1,0.541027084290405
254,Gettin' Jiggy Wit It,Gettin' Jiggy Wit It,Will Smith,user1,0.5409135099179172
376,Alive,Ten,Pearl Jam,user1,0.5402955556576927
633,Knockin' On Heaven's Door,Greatest Hits,Guns N' Roses,user2,0.5402913737841404
714,Passion For Publication,The Natural Way,Anarbor,user2,0.540268141389453
299,Automatic Stop,Room On Fire,The Strokes,user1,0.5401459635663329
431,All Apologies,Live at Reading,Nirvana,user1,0.5392504958648688
52,Hard To Explain,Is This It,The Strokes,user1,0.5388590767402643
552,Tattoo,Jordin Sparks,Jordin Sparks,user2,0.5386429495538223
188,Tomorrow,The Best Of - Volume One,Silverchair,user1,0.5382026087524949
580,I Wanna Know You,Hannah Montana - The Collection,Hannah Montana,user2,0.5377742520721092
429,Volcano Girls,Eight Arms To Hold You,Veruca Salt,user1,0.5372592713799881
154,Your Love,Super Hits,The Outfield,user1,0.5370622590372545
98,Take Me Home Tonight,Can'T Hold Back,Eddie Money,user1,0.5368430660608897
747,Grace Kelly,Big Night Out,MIKA,user2,0.5367766171349618
63,Golden Skans,Golden Skans,Klaxons,user1,0.5367260587199494
367,Calling All Skeletons,Agony & Irony,Alkaline Trio,user1,0.5367125781810406
365,Breakdown,In Between Dreams,Jack Johnson,user1,0.536674422040422
613,Like A Child,Backstreet's Back,Backstreet Boys,user2,0.5362185351149179
257,Electric Feel,Electric Feel,MGMT,user1,0.5362065008251719
145,Lisztomania,Lisztomania,Phoenix,user1,0.5360804647232753
521,Rock Star,Hannah Montana - The Collection,Hannah Montana,user2,0.5360731845396497
215,Bodies,Sinner,Drowning Pool,user1,0.535844401945003
414,Miami,Greatest Hits,Will Smith,user1,0.535222960552838
501,Sunshine,Sad Clown Bad Summer Number 9,Atmosphere,user1,0.5351633415347927
635,Womanizer,Circus,Britney Spears,user2,0.5346282067893743
261,Womanizer,Circus,Britney Spears,user1,0.5346282067893743
590,Breakaway,Breakaway,Kelly Clarkson,user2,0.5345726730137612
582,My Own Worst Enemy,A Place In The Sun,Lit,user2,0.534512978505683
482,Spoonman,Superunknown,Soundgarden,user1,0.5342066166950792
276,Dark Moves Of Love,Saturdays = Youth (iTunes),M83,user1,0.5339329657843966
388,Grand Theft Autumn / Where Is Your Boy,**** Live In Phoenix,Fall Out Boy,user1,0.5339107290849445
699,Grand Theft Autumn / Where Is Your Boy,**** Live In Phoenix,Fall Out Boy,user2,0.5339107290849445
420,Dumb,In Utero,Nirvana,user1,0.5338643755072692
541,I Don't Feel Like Dancin',How To Lose Friends And Alienate People,Scissor Sisters,user2,0.5338079985615003
131,Beautiful Girls,Now That's What I Call Music! 68,Sean Kingston,user1,0.5337341303445914
571,Beautiful Girls,Now That's What I Call Music! 68,Sean Kingston,user2,0.5337341303445914
419,Summer Of '69,Anthology,Bryan Adams,user1,0.5331876121824516
670,In Da Club,Get Rich Or Die Tryin',50 Cent,user2,0.5329773190286046
321,In Da Club,Get Rich Or Die Tryin',50 Cent,user1,0.5329773190286046
310,Upside Down,Upside Down,Jack Johnson,user1,0.5328352811098641
275,Real Muthaphuckkin' G's,Gangsta Memorial (Explicit),Eazy-E,user1,0.5327420233794156
127,Congratulations,Congratulations,MGMT,user1,0.5326543767470757
50,Better Man,Seattle Washington November 5 2000,Pearl Jam,user1,0.5316245692165834
138,Hemorrhage (In My Hands),Something Like Human,Fuel,user1,0.5314656848077797
645,My Friends Over You,Hits,New Found Glory,user2,0.5308575036485592
281,My Friends Over You,Hits,New Found Glory,user1,0.5308575036485592
468,The Kids Aren't Alright,Greatest Hits,The Offspring,user1,0.5306324182292638
739,Gives You Hell,Gives You Hell,The All-American Rejects,user2,0.5298742528175672
465,Gives You Hell,Gives You Hell,The All-American Rejects,user1,0.5298742528175672
149,Just Let Go,Singularity,Mae,user1,0.5296710353616446
83,Take Me To The Top,Music To Crash Your Car To,Mötley Crüe,user1,0.5296698559374182
751,Candles,Hold On Tight,Hey Monday,user2,0.5293379237344912
441,Uprising,Uprising,Muse,user1,0.5289990503657244
357,Cherry-coloured Funk,Heaven Or Las Vegas (Remastered),Cocteau Twins,user1,0.5288895326476636
162,Hollaback Girl,Hollaback Girl,Gwen Stefani,user1,0.5283740889243391
587,Hollaback Girl,Hollaback Girl,Gwen Stefani,user2,0.5283740889243391
709,Pick U Up,For Your Entertainment,Adam Lambert,user2,0.5282003659968556
380,Teenage Dirtbag,Essential - One For The Lads,Wheatus,user1,0.5280178679133256
507,Fantasy,R&B: From Doo-Wop To Hip-Hop,Mariah Carey,user2,0.5278208483492879
39,Same Ol' Situation (S.O.S.),Motley Crue - Loud as Fuck,Mötley Crüe,user1,0.5277104948496859
30,Je Vous Hais Petites Filles,We Own The Sky,M83,user1,0.5276653168531314
566,America's Suitehearts,Alternative Summer 2009,Fall Out Boy,user2,0.5271936418340425
274,The Space Between,This Could Be A Possibility,Valencia,user1,0.5270535828159721
87,I Wanna,When The World Comes Down,The All-American Rejects,user1,0.5268711705907254
438,Rollin' (Air Raid Vehicle),Greatest Hitz,Limp Bizkit,user1,0.5266206534712747
82,Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,user1,0.5263737429262745
228,Good Life,Waking Up,OneRepublic,user1,0.5253889135818808
628,Good Life,Waking Up,OneRepublic,user2,0.5253889135818808
214,Can't Be Saved,Can't Be Saved,Senses Fail,user1,0.5251283745379584
177,Temperature,Riddim Driven - Applause,Sean Paul,user1,0.5250404305630738
599,Temperature,Riddim Driven - Applause,Sean Paul,user2,0.5250404305630738
115,Coming Undone,Coming Undone,Korn,user1,0.5249768174324402
225,West End Blues,The King of Swing,Louis Armstrong,user1,0.5248884253264026
184,Become What You Hate,Living Well Is The Best Revenge,Midtown,user1,0.5248664541734708
688,Who Knows,Under My Skin,Avril Lavigne,user2,0.5242370717190802
64,Future Reflections,Oracular Spectacular,MGMT,user1,0.52387806237668
524,Zombie,Bualadh Bos: The Cranberries Live,The Cranberries,user2,0.5236762520483695
84,Loser,Mellow Gold,Beck,user1,0.5236545286129423
738,My World,Let Go,Avril Lavigne,user2,0.5233284591286997
394,Just Like You,Three Days Grace (Deluxe Version),Three Days Grace,user1,0.5223989565261603
389,When Did Your Heart Go Missing?,Calling The World,Rooney,user1,0.5210163498729117
756,Disloyal Order Of Water Buffaloes,Folie à Deux,Fall Out Boy,user2,0.5209379493957349
564,Unwanted,My World,Avril Lavigne,user2,0.5202740897100685
457,Killing In The Name,Live at the Grand Olympic Auditorium,Rage Against The Machine,user1,0.5199315299527649
522,G.I.N.A.S.F.S.,Infinity On High,Fall Out Boy,user2,0.5195883559771026
399,Over My Head (Cable Car),Hits For Kids Pop Party Volume 4,The Fray,user1,0.5192372472951569
204,Bobcaygeon,Phantom Power,The Tragically Hip,user1,0.5191031532747484
620,Shy Boy,Jordin Sparks,Jordin Sparks,user2,0.5189276436570843
277,Honestly,John Tucker Must Die (Music From The Motion Picture),Cartel,user1,0.5188848152092389
189,Rome,Wolfgang Amadeus Phoenix,Phoenix,user1,0.5177609230025167
641,Superstar,Superstar,Jamelia,user2,0.5174742689694101
256,Beverly Hills,Beverly Hills,Weezer,user1,0.5171135548597192
387,End Of The Line,Traveling Wilburys Vol. 1,Traveling Wilburys,user1,0.5170028317717656
614,Fire Burning,Dance Nation Vol. 2,Sean Kingston,user2,0.516077767476907
196,Fire Burning,Dance Nation Vol. 2,Sean Kingston,user1,0.516077767476907
737,Cruel Summer,The Very Best of Bananarama,Bananarama,user2,0.5156628219002426
631,If I Ain't Got You,Essential-Soul Love,Alicia Keys,user2,0.5155426506710484
430,Everybody Wants To Rule The World,"12"" 80s Pop",Tears For Fears,user1,0.5154777860629625
721,Everybody Wants To Rule The World,"12"" 80s Pop",Tears For Fears,user2,0.5154777860629625
382,Mardy Bum,Whatever People Say I Am_ That's What I'm Not,Arctic Monkeys,user1,0.5153277306060876
18,Since U Been Gone,Dance Vault Mixes - Since U Been Gone (Remixes),Kelly Clarkson,user1,0.5147949883624073
510,Since U Been Gone,Dance Vault Mixes - Since U Been Gone (Remixes),Kelly Clarkson,user2,0.5147949883624073
227,Up Up & Away,Man On The Moon: The End Of Day,Kid Cudi,user1,0.5145650299238935
511,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,user2,0.5144769810922641
19,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,user1,0.5144769810922641
652,The Best Damn Thing,The Best Damn Thing,Avril Lavigne,user2,0.5134617477793534
148,The Fortunate,Cartel,Cartel,user1,0.5133640078267063
73,Always Like This,Always Like This,Bombay Bicycle Club,user1,0.5131807908720222
217,Soul Meets Body,Catch And Release,Death Cab for Cutie,user1,0.5131551491393507
557,More,Kiss & Tell,Selena Gomez & The Scene,user2,0.5124247741497839
180,Sleepyhead,Chunk of Change,Passion Pit,user1,0.5121070509424569
487,FACK,Curtain Call,Eminem,user1,0.5113197997589484
258,Yellow,101 Indie Classics,Coldplay,user1,0.5108719219140079
668,...Baby One More Time,...Baby One More Time (Digital Deluxe Version),Britney Spears,user2,0.5108617441551353
291,Flying High Again,Diary of a madman / Bark at the moon / The ultimate sin,Ozzy Osbourne,user1,0.5107670354315416
622,Naturally,Kiss & Tell,Selena Gomez & The Scene,user2,0.5107335563853945
309,Last Nite,Is This It,The Strokes,user1,0.5106895554328613
88,1901,Oui Love Sampler,Phoenix,user1,0.5105342036055571
746,Underneath Your Clothes,LOVE,Shakira,user2,0.509904441510362
611,505,Favourite Worst Nightmare,Arctic Monkeys,user2,0.5091041037843562
505,Burnin' Up,2009 GRAMMY Nominees,Jonas Brothers,user2,0.5081719634158955
260,Where Is My Mind?,Wave Of Mutilation: Best Of Pixies,Pixies,user1,0.5080693521864977
506,I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You),**** Live In Phoenix,Fall Out Boy,user2,0.5080605519373407
683,Slipped Away,Under My Skin,Avril Lavigne,user2,0.507782628172718
251,Long Distance Call,It's Never Been Like that,Phoenix,user1,0.5074841063760986
271,Pretty Noose,Down On The Upside,Soundgarden,user1,0.5074522474791774
702,So Sick,So Sick,Ne-Yo,user2,0.5067653792315596
612,You'll Always Find Your Way Back Home,Hannah Montana The Movie,Hannah Montana,user2,0.5060936476852557
748,Hot,Control Room - Live EP,Avril Lavigne,user2,0.5059320690441755
692,Any Way You Want It,Departure,Journey,user2,0.5055841466838589
373,Any Way You Want It,Departure,Journey,user1,0.5055841466838589
282,Boyz-N-The Hood,Eazy Duz It,Eazy-E,user1,0.5051333810228975
682,Magic,Wizards Of Waverly Place,Selena Gomez,user2,0.5047970718347884
143,Jump,R&B: From Doo-Wop To Hip-Hop,Kris Kross,user1,0.5047651174384419
176,Apologize,2009 GRAMMY Nominees,OneRepublic,user1,0.5044929161569788
598,Apologize,2009 GRAMMY Nominees,OneRepublic,user2,0.5044929161569788
669,Nobody's Perfect,Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,Hannah Montana,user2,0.5044242058751524
324,Give A Little Bit,Even In The Quietest Moments,Supertramp,user1,0.5042562934336019
173,Farewell / Goodbye,Before The Dawn Heals Us,M83,user1,0.5039604399917532
467,Without Me,Curtain Call,Eminem,user1,0.5039194610910639
743,Without Me,Curtain Call,Eminem,user2,0.5039194610910639
286,Shiver,Parachutes,Coldplay,user1,0.5034775462066737
455,Blood Bank,Blood Bank,Bon Iver,user1,0.5033354143648829
425,It Wasn't Me,It Wasn't Me,Shaggy,user1,0.5030024831656523
650,Love Machine,Long Hot Summer,Girls Aloud,user2,0.5028930615048134
224,Wild Side,Music To Crash Your Car To,Mötley Crüe,user1,0.5024386700302413
647,U Got It Bad,8701,Usher,user2,0.5015699605266334
624,Bring It All Back,S Club,S Club 7,user2,0.5013625404390987
705,No One Else Comes Close,Millennium,Backstreet Boys,user2,0.5012643106376553
298,Hands Up,Hands Up,Lloyd Banks,user1,0.5004511765354398
553,How Does It Feel,Under My Skin,Avril Lavigne,user2,0.5000669351740714
59,Every Breath You Take,Certifiable,The Police,user1,0.4984841208279627
40,Superman's Dead,Live,Our Lady Peace,user1,0.4984399863793554
56,Slow Dancer,Slow Dancer,Boz Scaggs,user1,0.4984384811386573
426,Never Gonna Give You Up,100 Hits Of The '80s,Rick Astley,user1,0.4983898305718651
656,Children,Dance Workout Classics; Keep Fit With The Hottest Hits & Remixes,Robert Miles,user2,0.49811882811152125
703,He Wasn't,Under My Skin,Avril Lavigne,user2,0.49743490619395325
252,One Step Closer,Dracula 2000 - Music From The Dimension Motion Picture,Linkin Park,user1,0.49674413285229085
689,Keep Holding On,Eragon: Music From The Motion Picture,Avril Lavigne,user2,0.49667351070200244
366,Keep Holding On,Eragon: Music From The Motion Picture,Avril Lavigne,user1,0.49667351070200244
577,Five Colours In Her Hair,"McFly ""SONY Connect Set",McFly,user2,0.4966383813217431
360,Today,Rotten Apples_ The Smashing Pumpkins Greatest Hits,The Smashing Pumpkins,user1,0.49633087295872763
207,Footloose,100 Hits Of The '80s,Kenny Loggins,user1,0.4959807272155089
158,All My Friends,All My Friends,LCD Soundsystem,user1,0.49590258532674336
329,Can't Stop,Before The Dawn Heals Us,M83,user1,0.4954311704816025
642,Our Song,Fearless,Taylor Swift,user2,0.495178995546493
546,Freak Out,Under My Skin,Avril Lavigne,user2,0.49482081308527703
404,Get Your Roll On,I Got That Work,Big Tymers,user1,0.49394189438812885
502,Buzzin',Shwayze,Shwayze,user1,0.49355201813342897
691,Ooh Ooh Baby,Blackout,Britney Spears,user2,0.4935206544753123
762,Photograph,All The Right Reasons,Nickelback,user2,0.4934099936831439
27,Vanished,Vanished,Crystal Castles,user1,0.4925427429459782
201,In My Head,Urban Hits,Jason Derulo,user1,0.4920896413544366
544,C'est La Vie,B*WITCHED,B*Witched,user2,0.4915183923171017
318,It's Not Over Yet,NME Presents The Essential Bands,Klaxons,user1,0.4911068314543132
242,People Say,The Satanic Satanist (The Majestic Majesty Deluxe Edition),Portugal. The Man,user1,0.4909797761281815
407,My Hero,Skin And Bones,Foo Fighters,user1,0.48935382731616245
437,In Too Deep,Kids Party Pac,Sum 41,user1,0.4890908696163487
106,Adult Education,Rock 'N Soul_ Part 1,Daryl Hall & John Oates,user1,0.48832695230582407
306,Sing For The Moment,Curtain Call,Eminem,user1,0.48711924167775517
285,Someday,Someday,The Strokes,user1,0.48711325802969735
717,Yeah!,The Mash Up,Usher,user2,0.4870041219097343
20,Reptilia,Reptilia,The Strokes,user1,0.48691612414500357
489,Bananza (Belly Dancer),Trouble,Akon,user1,0.48619379542092955
648,S.O.S.,Music from the 3D Concert Experience,Jonas Brothers,user2,0.4861746688663339
694,Play My Music,Camp Rock OST,Jonas Brothers,user2,0.48609740636824117
42,Take Me Out,Franz Ferdinand,Franz Ferdinand,user1,0.4849855659113306
377,Ass Like That,Ass Like That,Eminem,user1,0.48492081107610857
634,Chasing Cars,Chasing Cars,Snow Patrol,user2,0.48458511391038045
247,Chasing Cars,Chasing Cars,Snow Patrol,user1,0.48458511391038045
719,All Around Me,Flyleaf,Flyleaf,user2,0.48432601578810486
423,Whole Wide World,Wreckless Eric,Wreckless Eric,user1,0.48376036976604864
122,Make Light,Manners,Passion Pit,user1,0.4837597771877893
327,White Room,I Feel Free - Ultimate Cream,Cream,user1,0.4834866750189536
736,Growing Up,Lullaby For The Apocalypse,Fall Out Boy,user2,0.4828761997460165
200,All These Things That I've Done,All These Things That I've Done,The Killers,user1,0.4826515688497602
690,Iron Man,Greatest Hits,Black Sabbath,user2,0.48186801237577764
597,You've Got The Love,Dog Days Are Over,Florence + The Machine,user2,0.48090040363903913
246,Kernkraft 400,Kernkraft 400 Single Mixes,Zombie Nation,user1,0.48071252177276874
339,Hand Of Blood,Hand Of Blood - Live At Brixton,Bullet For My Valentine,user1,0.4803241491188777
312,The Artist In The Ambulance,Live At The House Of Blues,Thrice,user1,0.479947932870791
140,Fat Lip,All Killer_ No Filler,Sum 41,user1,0.47972055632668686
381,Feel.Love.Thinking.Of.,Feel.Love.Thinking.Of.,Faunts,user1,0.47962580599500515
205,Little Secrets,Cream Future Electro,Passion Pit,user1,0.4795042232440394
397,Never Say Never,Chillseeker,The Fray,user1,0.47910009933871633
46,Reelin' In The Years,The Definitive Collection,Steely Dan,user1,0.4790709990863154
687,Too Far Gone,The All American Rejects,The All-American Rejects,user2,0.47894512837447545
672,The Icicle Melts,Treasure Box : The Complete Sessions 1991-99,The Cranberries,user2,0.47880000483464086
386,Look After You,Acoustic In Nashville - Bootleg No. 2,The Fray,user1,0.4787672991242374
255,West End Blues,Columbia Original Masters,Louis Armstrong & His Hot Five,user1,0.4782236230624614
540,Fame < Infamy,Infinity On High,Fall Out Boy,user2,0.4776477616492535
627,My Life Would Suck Without You,My Life Would Suck Without You,Kelly Clarkson,user2,0.4774950984068552
575,If I Had You,For Your Entertainment (Deluxe Version),Adam Lambert,user2,0.47734922540539004
182,Feel It All Around,Life Of Leisure,Washed Out,user1,0.4767911977497828
320,Dollar Bill,Ocean Of Confusion - Songs Of Screaming Trees 1990-1996,Screaming Trees,user1,0.4765198462488639
432,Crocodile Rock,Billboard #1s: The '70s,Elton John,user1,0.47634133438888665
351,Looks That Kill,Carnival Of Sins/Live,Mötley Crüe,user1,0.476162601052282
240,Receipt,Tha Carter II,Lil Wayne,user1,0.4761294983325738
151,A Message,X & Y,Coldplay,user1,0.4758320643812949
54,Locked Up,Pot of Gold,Akon,user1,0.47530507092952784
326,Boyz-N-The-Hood,N.W.A. And Their Family Reunion,Eazy-E,user1,0.47528128113374696
392,Where I Want To Be,Reach For The Sun,The Dangerous Summer,user1,0.47504454749124914
134,Jumpin' Jack Flash,Flashpoint,The Rolling Stones,user1,0.47465401586897127
632,Let's Do This,Hannah Montana 3 Original Soundtrack,Hannah Montana,user2,0.47442770401085343
481,Perfect Day,Totally Chick Flicks,Hoku,user1,0.4744189411189024
754,Marry Me,Save Me_ San Francisco,Train,user2,0.4741314355205115
133,Fireworks,Fireworks,Animal Collective,user1,0.4740852881679481
448,Paralyzer,Them vs. You vs. Me,Finger Eleven,user1,0.47291387861601103
731,Billie Jean,538 Hitzone 51,Michael Jackson,user2,0.47200083698078166
454,Billie Jean,538 Hitzone 51,Michael Jackson,user1,0.47200083698078166
153,How Will I Know,Whitney Houston (The Deluxe Anniversary Edition),Whitney Houston,user1,0.4716693638932936
358,All Downhill From Here,Catalyst,New Found Glory,user1,0.47142518500622027
561,Push The Button,Overloaded: The Singles Collection,Sugababes,user2,0.47031215991195213
433,Chord Sounds,Southland Tales,Moby,user1,0.4701235088818147
583,Head On Collision,Hits,New Found Glory,user2,0.4700107462795268
249,Something Good Can Work,Kitsuné Maison Compilation 7,Two Door Cinema Club,user1,0.46956785145707364
236,The Joker,Box Set,Steve Miller Band,user1,0.4682201144637023
248,Sparks,Parachutes,Coldplay,user1,0.4677357788676614
92,Floating Vibes,Astro Coast,Surfer Blood,user1,0.4673916211672608
562,S Club Party,Best - The Greatest Hits,S Club 7,user2,0.4666659194582984
452,Baker Street,City To City,Gerry Rafferty,user1,0.46659922670766274
493,Ooh La La,The Best Of Faces: Good Boys When They're Asleep,Faces,user1,0.466295196330587
601,Rehab,Back To Black,Amy Winehouse,user2,0.4659746094546394
424,Walk This Way,Rockin' The Joint,Aerosmith,user1,0.4652394792963377
716,Walk This Way,Rockin' The Joint,Aerosmith,user2,0.4652394792963377
708,Kung Fu Fighting,Cool - Pop,Carl Douglas,user2,0.46359335939142277
727,My Humps,Monkey Business,Black Eyed Peas,user2,0.46282932208377686
185,Ocean Avenue,Ocean Avenue,Yellowcard,user1,0.4628251208726843
660,True Friend,Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,Hannah Montana,user2,0.4627335400759251
370,In A Big Country,Dad's Jukebox,Big Country,user1,0.46259569753669155
353,Clocks,A Rush Of Blood To The Head,Coldplay,user1,0.46196096487545135
679,Clocks,A Rush Of Blood To The Head,Coldplay,user2,0.46196096487545135
239,Spirit In The Sky,Original Hits - Number 1s,Norman Greenbaum,user1,0.46133501278042977
23,Hell Yeah,Light It Up,Rev Theory,user1,0.4613074012014629
67,4th Dimensional Transition,Oracular Spectacular,MGMT,user1,0.4605651249243097
139,Closer,Closer,Ne-Yo,user1,0.45957171986453305
99,3 Peat,Tha Carter III,Lil Wayne,user1,0.4579557762022851
337,Paranoid,Live At Last,Black Sabbath,user1,0.45747990815576073
124,Robot Rock,Musique Vol 1,Daft Punk,user1,0.4563629101364865
422,Do You Want To,Do You Want To,Franz Ferdinand,user1,0.45631858750962084
354,See You Soon,The Blue Room,Coldplay,user1,0.45627180705845277
45,Somewhere On Fullerton,Drive Thru Records Greatest Hits,Allister,user1,0.4558319728399101
160,I Wish I Knew Natalie Portman,Yes!,K-OS,user1,0.45571393805203086
8,The Scientist,Live Lounge,Coldplay,user1,0.45570882064378976
418,Total Eclipse of the Heart,Bonnie Tyler Live,Bonnie Tyler,user1,0.4557000932585642
665,High School Musical,High School Musical 3 - Senior Year,High School Musical Cast,user2,0.45566905819463116
116,An Honest Mistake,Lifestyle2 - Dance Grooves Vol 1,The Bravery,user1,0.45534377199222104
753,Til Kingdom Come,X & Y,Coldplay,user2,0.45477550541699224
450,No Excuses,Jar Of Flies,Alice In Chains,user1,0.4543813853492079
537,Replay,Massive R&B Spring 2010,Iyaz,user2,0.45432244761258156
72,Replay,Massive R&B Spring 2010,Iyaz,user1,0.45432244761258156
16,Stuck In The Middle With You,Cool - Rock,Stealers Wheel,user1,0.45430831690982904
100,SOS,Clubbers Yearbook Mixed,Rihanna,user1,0.45421003930955817
551,SOS,Clubbers Yearbook Mixed,Rihanna,user2,0.45421003930955817
121,Can't Fight This Feeling,The Hits,REO Speedwagon,user1,0.4534604655233209
28,Break Your Heart,Break Your Heart,Taio Cruz,user1,0.45193116626378393
518,Break Your Heart,Break Your Heart,Taio Cruz,user2,0.45193116626378393
528,Somebody Told Me,Distortion On The Dance Floor,The Killers,user2,0.4518579485360044
53,Somebody Told Me,Distortion On The Dance Floor,The Killers,user1,0.4518579485360044
230,She Is,Acoustic In Nashville - Bootleg No. 2,The Fray,user1,0.45105676386898336
378,You're Not Alone,Saosin,Saosin,user1,0.4509338172304279
234,Don't Panic,Don't Panic,Coldplay,user1,0.45077836236805396
297,The Pretender,Echoes_ Silence_ Patience & Grace,Foo Fighters,user1,0.45039375470813386
478,Evil,Antics,Interpol,user1,0.4500965940826876
161,Dr. Feelgood,Motley Crue / Rock Legends,Mötley Crüe,user1,0.44990002146910607
550,That's What She Said,Backstreet's Back,Backstreet Boys,user2,0.4494892333390792
51,Dirty Little Secret,Dirty Little Secret,The All-American Rejects,user1,0.44943712335544483
526,Dirty Little Secret,Dirty Little Secret,The All-American Rejects,user2,0.44943712335544483
643,Old Blue Jeans,Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,Hannah Montana,user2,0.44684447139754957
488,Move Your Feet,Move Your Feet,Junior Senior,user1,0.44641704669975124
